lat_suburb,long_suburb,suburb,region,state
-19.31365,146.69186,Bohle Plains,Townsville,Queensland
-32.701,151.58541,Bolwarra Heights,Maitland Municipality,New South Wales
-34.84967,150.61093,Bomaderry,Shoalhaven Shire,New South Wales
-36.91212,149.23669,Bombala,Bombala,New South Wales
-27.08367,153.15942,Bongaree,Moreton Bay,Queensland
-34.00834,151.05188,Bonnet Bay,Sutherland Shire,New South Wales
-30.38284,153.05959,Bonville,Coffs Harbour,New South Wales
-33.51667,151.35,Booker Bay,Central Coast,New South Wales
-34.43661,148.71634,Boorowa,Boorowa,New South Wales
-36.30768,140.77167,Bordertown,Tatiara,South Australia
-38.13922,145.26841,Botanic Ridge,Casey,Victoria
-33.94599,151.19591,Botany,Botany Bay,New South Wales
-30.78204,121.4912,Boulder,Kalgoorlie/Boulder,Western Australia
-30.09011,145.93646,Bourke,Bourke,New South Wales
-20.01367,148.24754,Bowen,Whitsunday,Queensland
-33.51667,150.11667,Bowenfels,Lithgow,New South Wales
-34.4775,150.4204,Bowral,Wingecarribee,New South Wales
-30.64997,152.85146,Bowraville,Nambucca Shire,New South Wales
-33.48295,115.72838,Boyanup,Capel,Western Australia
-33.83425,116.38776,Boyup Brook,Boyup Brook,Western Australia
-27.3171,153.03097,Bracken Ridge,Brisbane,Queensland
-35.44148,149.7998,Braidwood,Palerang,New South Wales
-32.65547,151.35113,Branxton,Cessnock,New South Wales
-27.59753,152.74755,Brassall,Ipswich,Queensland
-38.17987,144.36765,Breakwater,Greater Geelong,Victoria
-29.96067,146.85986,Brewarrina,Brewarrina,New South Wales
-33.96242,116.13598,Bridgetown,Bridgetown-Greenbushes,Western Australia
-35,138.75,Bridgewater,Adelaide Hills,South Australia
-42.73719,147.22784,Bridgewater,Brighton,Tasmania
-41.00046,147.39175,Bridport,Dorset,Tasmania
-27.29582,153.05721,Brighton,Brisbane,Queensland
-33.93333,150.73333,Bringelly,Liverpool,New South Wales
-31.96173,141.45998,Broken Hill,Broken Hill Municipality,New South Wales
-32.16696,116.00193,Brookdale,Armadale,Western Australia
-37.7008,144.56025,Brookfield,Melton,Victoria
-17.95538,122.23922,Broome,Broome,Western Australia
-35.85469,150.17392,Broulee,Eurobodalla,New South Wales
-37.55,143.9,Brown Hill,Ballarat,Victoria
-28.54154,153.5481,Brunswick Heads,Byron Shire,New South Wales
-26.68443,153.05705,Buderim,Sunshine Coast,Queensland
-33.22285,151.53125,Buff Point,Wyong Shire,New South Wales
-32.40698,152.21185,Bulahdelah,Great Lakes,New South Wales
-34.33834,150.91347,Bulli,Wollongong,New South Wales
-31.66905,115.9999,Bullsbrook,Swan,Western Australia
-33.32711,115.64137,Bunbury,Bunbury,Western Australia
-24.86621,152.3479,Bundaberg,Bundaberg,Queensland
-27.60947,152.81133,Bundamba,Ipswich,Queensland
-34.65851,150.29913,Bundanoon,Wingecarribee,New South Wales
-34.08384,151.15016,Bundeena,Sutherland Shire,New South Wales
-35.25382,149.44007,Bungendore,Palerang,New South Wales
-38.09789,145.71606,Bunyip,Cardinia,Victoria
-27.55584,153.14701,Burbank,Brisbane,Queensland
-28.09975,153.42463,Burleigh Waters,Gold Coast,Queensland
-41.05584,145.90375,Burnie,Burnie,Tasmania
-37.72691,144.75225,Burnside Heights,Melton,Victoria
-27.15746,152.95758,Burpengary,Moreton Bay,Queensland
-28.4358,153.47324,Burringbar,Tweed,New South Wales
-33.65249,115.3455,Busselton,Busselton,Western Australia
-31.64298,115.70431,Butler,Wanneroo,Western Australia
-34.26017,150.53288,Buxton,Wollondilly,New South Wales
-32.22099,116.009,Byford,Serpentine-Jarrahdale,Western Australia
